campaign	email	22.05.26 - Memorial Day kick off (Email) [Eikona Full Creative]	email	Klaviyo	1655
beehiiv	paid	GA0PVYXNNA	email	Beehiiv	883
MetaAds	Catalog  | US | Dynamic Retargeting | Conversions	Add to Cart 30 Days | US | 18+	paid_social	Facebook	623
google	cpc		paid_search	Google Ads	490
MetaAds	US | Cream | Prospecting | Conversions | Advantage+ sale campaign 9/11/2025 | Website	Broad | US | M | 45+ | Grapevine | #PGS-FC	paid_social	Facebook	397
Klaviyo Campaign	sms	[SMS] 21.05.26 - Memorial Day Early Bird - 25% off	sms	Klaviyo	309
MetaAds	US | Dynamic Prospecting | Conversions	Broad | US | M | 40+	paid_social	Facebook	275
atwave	paid	fc_sep2025	paid_other	atwave	255
flyover_section	paid	iefc_may222026	paid_other	flyover_section	251
snapchat	8d61541e-d1df-4a62-9121-4220a31f5dc0	US | Dynamic Prospecting | Sales | Snap Ads | 10/05/2026	paid_social	Snapchat	225
patriot	paid	fc_may2026	paid_other	patriot	210
MetaAds	US | Cream | Prospecting | Conversions | Advantage+ sale campaign 9/11/2025 | Website	Broad | US | M | 45+ | #PGS-FC	paid_social	Facebook	164
MetaAds	US | Dynamic Prospecting | Conversions | Theme #1 Test | 02/26/2026	Broad | US | M | 40+ | #PGS-DYN	paid_social	Facebook	154
MetaAds	US | Instant Eye Firming Cream | Prospecting | Conversions | Advantage+ sale campaign | Website	Broad | US | Audience+ | M 35+ | SOFT Exclusions	paid_social	Facebook	144
google	cpc	Shopping_Face_Cream_USA	paid_shopping	Google Ads	139
MetaAds	US | Sunscreen | Prospecting | Conversions | Grapevine Advantage+ sale campaign	Grapevine | Broad | US | Audience+ | M 35+ | SOFT Exclusions	paid_social	Facebook	137
MetaAds	US | Dr. Blane - Grapevine Dynamic Prospecting | Conversions | 04/05/2026	Dr. Blane - GV Catalog | Broad | US | M | 40+ | #PGS-DYN	paid_social	Facebook	118
MetaAds	US | Grapevine Dynamic Prospecting | Conversions	MMC | Broad | US | M | 40+ | #PGS-DYN	paid_social	Facebook	115
google	cpc	Discovery_Face_Cream_Broad_Prospecting_Feed_USA	paid_search	Google Ads	105
campaign	email	21.05.26 - Memorial Day Early Bird - 25% off (Email) [Eikona Full Creative]	email	Klaviyo	104
MetaAds	US | Gravite Cologne | Prospecting | Conversions | Advantage+ sale campaign 07/29/2025	Broad | US | M 45+ | #PGS-GRVT	paid_social	Facebook	100
MetaAds	US | Cream | Prospecting | Conversions | Grapevine Advantage+ sale campaign 10/29/2025 | Website	Broad | US | M | 45+	paid_social	Facebook	100
MetaAds	US | MMC Dynamic Prospecting | Conversions	Broad | US | M | 40+ | #PGS-DYN	paid_social	Facebook	96
beehiiv	paid	MBV4QLIBYG	email	Beehiiv	92
google	cpc	Shopping_Brand_Face_Cream_USA	paid_shopping	Google Ads	73
MetaAds	US | Instant Eye Firming Cream | Prospecting | Conversions | Advantage+ sale campaign 07/16/2025  | Website	Broad | US | M 45+	paid_social	Facebook	73
Yotpo Loyalty Monthly Status	email	Yotpo Loyalty Monthly Status - Email #1	email	Klaviyo	69
Order Confirmation	email	Order Confirmation - Repeat Customers - Email #2	email	Klaviyo	67
axon	paid	Face Cream Prospecting Creative test US CPP 7D	paid_other	Applov	67
Order Confirmation	email	Order Confirmation - Repeat Customers - Email #1	email	Klaviyo	66
Memorial Day 2026 - Welcome Flow	email	Memorial Day 2026 - Welcome Flow Email #1	email	Klaviyo	64
snapchat	1dc5022b-4f12-48ab-be79-d66ed82edfbb	US | Dynamic Prospecting | Sales | Snap Ads | 10/05/2026	paid_social	Snapchat	62
flyover_podcast	paid	gravite	paid_other	flyover_podcast	59
MetaAds	US | Instant Eye Firming Cream | Prospecting | Conversions | Advantage+ sale campaign | Website	Broad | US | M 45+ | SOFT Exclusions	paid_social	Facebook	57
MetaAds	US | Anti-Gray Serum | Prospecting | Conversions | Advantage+ sale campaign 07/28/2025 | Website	New Variations | Advantage+ sale campaign | Website | M 35+ | #PGS-AGS	paid_social	Facebook	55
echo	paid	fc_q22026	paid_other	echo	55
MetaAds	US | Power Shower Set | Prospecting | Conversions | Memorial Day Sale 2026 | Website	US | Prospecting | Website | Audience+ | Value Rules - 90% Bid Decrease | Placement Exclusions	paid_social	Facebook	52
MetaAds	US | Cream | Remarketing | Conversions | Advantage+ sale campaign 11/01/2025 | Website	PDP Visitors 30 Days | No Customers | US | ALL | 18+	paid_social	Facebook	52
bing	cpc	Particle - Brand Keywords - General - USA	paid_search	Bing Ads	51
google	cpc	Discovery_Anti-Gray_Serum_Broad_Prospecting_Feed_USA	paid_search	Google Ads	49
